Institution,CUET 2024 GP,SUST 2024 GP,NCPC 2024 GP,IUT 2024 GP,BUET 2024 GP,ICPC 2024 GP,KUET 2025 GP,CGPA
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,3.367111368721124,3.5677062552906205,3.503734024717336,3.3219584862285094,3.407764243738383,3.433177882171318,2.9973583236926955,3.406414875797164
UNIVERSITY OF DHAKA,2.3339389366853256,2.886008294176475,3.3125497887986515,2.702946871686199,3.237941192943168,3.1701260763072154,3.214324321226396,3.0910479430854516
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3.3633030530681887,3.1949077753907047,3.111233553666604,2.5518918436313722,2.623566195243681,2.9488458864079607,3.3532398501726752,2.989980099786183
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2.4153812939445607,1.0290059521134738,2.503620831783356,2.9094246850130014,2.768387390490602,2.8176032796300574,2.469680632489201,2.668820896382058
BRAC UNIVERSITY,2.8400934266584836,2.741835340325071,2.3797618236361764,2.8375282217725,2.21078403866021,2.4085280179300135,2.9644882281757376,2.5190401067492356
ISLAMIC UNIVERSITY OF TECHNOLOGY,2.7047886492120443,2.79393090765417,2.4592957486328437,2.5562842146937945,2.4433820020809325,2.4458945832134855,1.9488084866593713,2.467309317923664
JAHANGIRNAGAR UNIVERSITY,2.239258583469555,2.4426633878979267,2.7613528452842027,2.618782214562166,2.645588786521736,2.412669629472275,2.4974280133943867,2.464265037584809
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1.5307217285522152,3.080532889206675,2.807916362829172,2.2166573134963206,3.052212591157918,2.2896735704373383,2.4294608414627525,2.4087684689085926
COMILLA UNIVERSITY,1.5693795010805487,2.327506179568346,1.6595020040577766,2.941174646468457,2.2633597581086544,2.3781674918494295,2.8093085968600082,2.3551479783297857
KHULNA UNIVERSITY,,,1.0211651984093006,2.954276410581615,2.053621910112778,2.1950647068192612,2.1849414013105304,2.186086087289497
UNIVERSITY OF RAJSHAHI,3.3620646683047912,1.9068660346453534,2.1490561497849954,2.7197893381824803,1.6940461884696414,1.826337739265356,1.362947428575482,2.028173518373619
DAFFODIL INTERNATIONAL UNIVERSITY,0.9730855258976957,1.456678720348467,0.6538686986709091,2.1382985319791525,2.01747198470658,2.183064873462855,2.3836008169308287,2.0118377910303664
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1.6115114570937008,2.1382985319791525,1.4171502369244076,2.8372870647225823,2.8951908823699823,1.6074117129069603,2.769266455811631,1.941352125909871
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,2.053621910112778,2.541036216642187,1.5717706073610735,2.56468278429437,1.439134026974067,1.849528614449674,1.3606794739952504,1.9049347997549657
EAST WEST UNIVERSITY,2.6651003722298374,2.025902156412639,1.090124776676148,2.082883434731933,2.743680179534987,1.5541783385678747,1.8927628702643722,1.818119540552965
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2.531066011752732,1.9759486848653758,2.1919307114602975,2.782443461459507,1.4076027895381638,1.4810374342901287,2.1962246955503457,1.8148134097570785
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,2.620605958426046,2.39614333988792,2.2053494370406623,2.314015877382062,2.7358678912376146,1.268721775109667,1.6255659552131734,1.7784196428599008
ISLAMIC UNIVERSITY,,1.7471455834877267,0.5796064053054457,1.456678720348467,1.6779586183816129,1.9559746720841207,0.7666627518369468,1.7595905231829687
SYLHET ENGINEERING COLLEGE,2.780541323428131,0.899268379285461,0.8562147507716412,2.0955325613395694,1.234522548671909,1.5771461359238115,1.9632414631690878,1.6619130835028217
LEADING UNIVERSITY,1.5476956033927902,0.7016416463827263,0.8041264345111063,2.4138589191155866,1.782801615803803,,,1.5836273858509837
UNIVERSITY OF CHITTAGONG,1.7471455834877267,0.8969941126017924,1.0874366070773125,1.097814178908594,0.5523513365045937,1.7416980438743443,1.6975857367588403,1.564892509421961
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1.0037916910322457,1.5395144830867669,1.3211774964911827,1.33192121588641,1.2211762709629015,1.422762575948421,1.3305819052642434,1.3754326961417462
NORTH SOUTH UNIVERSITY,2.261829153858414,2.287645565694235,1.5733514686472811,1.3918416457592917,1.574912484251718,0.7493399199157598,1.6825494254136557,1.2942633969038093
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,2.170443245118741,2.0495218558701818,0.8455084652268003,2.1970548012927433,0.7821706001092744,0.9127554829844443,1.5398529079428045,1.2892979757439966
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2.6618778295651393,2.3493272157734326,1.5712596350484072,2.6629562294268254,0.9871096235735055,0.10947785895278961,1.129312538662359,1.278611890559946
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,0.7351182156056125,1.2392883910542292,0.266316158930358,0.9339797090814166,1.166408319353112,1.0849781061267505,,1.0342209865064709
INSTITUTE OF SCIENCE AND TECHNOLOGY,2.8372870647225823,,0.3183671475184304,1.5792812279518267,0.6235322992402574,0.6306991899932575,0.46992009257173706,1.0294011907464862
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,1.2145026232331446,0.5988404201903432,0.24772866300992433,2.018614551957641,1.4275451459414976,0.8166510307685233,1.3710143581622143,1.029227423492381
SHEIKH HASINA UNIVERSITY,1.2392883910542292,0.46992009257173706,0.087859412969168,0.6362574482043444,,1.1610520394808181,0.37627975046943607,1.0157040634281946
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0.9423643770844311,1.7122026718179721,0.49775762577721083,1.5807762875360083,0.8058173532817318,0.6521874739368753,1.4241291667543212,0.9335211811460811
EAST DELTA UNIVERSITY,1.3167221895789905,0.992337067337394,0.4079496309471872,,0.810811632987921,0.9073067309186261,,0.9178225956054971
GREEN UNIVERSITY OF BANGLADESH,0.6492422940860657,1.2903877457874107,0.28474974056668756,1.0125888442218307,1.8941954625664084,0.6423979101727063,1.4478858655390154,0.9162044996646738
JAGANNATH UNIVERSITY,,,0.31484757509536204,2.365581740733275,1.3710143581622143,0.26747459227558507,0.730964603354424,0.8205523236911855
"BEGUM ROKEYA UNIVERSITY, RANGPUR",0.7038862812502827,0.6362574482043444,1.097814178908594,1.2645799908716624,0.6760123845127715,0.7614208471157078,0.5094712859252829,0.8016253096075998
METROPOLITAN UNIVERSITY,1.7122026718179721,1.024941861842711,0.8897682142617451,0.992337067337394,0.4605216907203023,0.2417777194598079,0.8701893461315962,0.6954126859282916
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,,0.9530405194708332,1.2024400459233635,0.7038862812502827,1.4816455266729984,0.22843824927445994,1.0292423021813577,0.6852462372659334
PORT CITY INTERNATIONAL UNIVERSITY,1.1430801529660497,,0.1119632222835876,,,0.6624921368225161,0.24618321380294497,0.6664480885117965
FENI UNIVERSITY,1.972298482472312,,,,0.4892962230026417,0.09148210429942524,,0.6182594980684739
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,,0.4605216907203023,1.3080185473395192,0.6760123845127715,1.195723317568697,0.2962330225613486,0.7177810510150321,0.60443216647049
UNIVERSITY OF ASIA PACIFIC,0.747866834025664,1.182195018858597,0.45097582170763684,0.827358809171348,0.8386631624748487,0.425936773433454,0.3046270719594323,0.5929443156911652
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,0.8790542303497565,1.4864068574984357,0.4247705445097743,0.5751263395508056,0.4334393311324227,0.0929204163830839,0.3788867997773318,0.5100637020796323
"INDEPENDENT UNIVERSITY, BANGLADESH",0.6362574482043444,1.1202185499067288,0.45131125690589624,1.166408319353112,0.4162751336195788,0.08089001192612069,,0.49685274414856556
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,,,,0.4892962230026417,,,,0.4892962230026417
PREMIER UNIVERSITY,1.166408319353112,,0.3470684610857529,,,0.2929700697061332,,0.4526134252446997
NORTH EAST UNIVERSITY BANGLADESH,1.097814178908594,0.49928186020677723,0.15784546255566828,0.689808555625277,0.5413043097745018,0.12398162867277483,0.20114960951056926,0.40224734515216076
BANGABANDHU SHEIKH MUJIBUR RAHMAN UNIVERSITY,0.7329094973451507,0.810811632987921,0.17462311201873246,0.7329094973451507,0.6110616532554524,0.04854360512569824,0.4079496309471872,0.39355211242339255
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,0.12897123514482303,0.5094712859252829,,0.15352366516546956,1.0952463692451637,0.3750427555531068
PRIME UNIVERSITY,0.689808555625277,,,1.0543407374238138,,0.028984951558705722,0.21807952424395188,0.3699763573134815
R. P. SHAHA UNIVERSITY,0.6235322992402574,,0.14856288659369452,,,0.24125954952688605,0.827358809171348,0.3673374459906912
SYLHET INTERNATIONAL UNIVERSITY,,0.9723431143715697,0.1711306497783578,0.7182513073982476,,0.039958138623726096,,0.35414117330041267
RANGPUR ENGINEERING COLLEGE,,,,,,,0.34012709186403783,0.34012709186403783
BANGLADESH UNIVERSITY OF PROFESSIONALS,0.5751263395508056,0.6760123845127715,0.08965246221343673,0.5988404201903432,,0.1597498985129718,0.3266580590262219,0.32632107561805623
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,0.7787034923215993,0.39179482556167855,0.09334908601982167,0.747866834025664,,0.021360607289933248,0.21371793375907283,0.3136971927889637
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.5636238127597896,0.44228503176777834,,0.7631294224751674,0.4162751336195788,0.019366485230808098,,0.3128424155661888
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,0.54688361051222,,,0.7424056149124321,,0.01930829716164835,0.2835802016814774,0.27898936723162615
UTTARA UNIVERSITY,,,,0.6492422940860657,,0.07627299973460275,0.31372239988878353,0.22809396688421432
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,0.6235322992402574,,0.05520622335065749,,0.20401521317431848
NORTHERN UNIVERSITY BANGLADESH,,,,0.4605216907203023,,0.08965246221343673,0.39979063832824346,0.2009637818900744
DHAKA INTERNATIONAL UNIVERSITY,,,,0.47951029854258886,,0.013153441945033366,0.3201248978456975,0.17424308880102304
BANGLADESH UNIVERSITY,,,,0.4605216907203023,,0.020933395144134583,,0.1469775802339357
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,0.4605216907203023,,0.011190462026510625,,0.1460161859477184
GONO BISHWABIDYALAY (GONO UNIVERSITY),,,,,,0.13428908282468038,,0.13428908282468038
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,0.08111570118006195,,0.08111570118006195
KHWAJA YUNUS ALI UNIVERSITY,,,,,,0.013771053342341718,0.20525470358221357,0.06620896505311115
BANGLADESH OPEN UNIVERSITY,,,,,,0.06232059398288497,,0.06232059398288496
DAFFODIL INSTITUTE OF IT (DIIT),,,0.10972395783791584,,,0.04160572534748657,,0.052553472158203884
ASIAN UNIVERSITY OF BANGLADESH,,,,,,0.05092046265249498,,0.05092046265249498
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,0.0
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,0.0
BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,,,,,,,,0.0
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,0.0
